image,label
232.png,2
233.png,3
234.png,2
235.png,0
236.png,2
237.png,5
238.png,7
239.png,6
240.png,7
241.png,3
242.png,5
243.png,4
244.png,2
245.png,0
246.png,7
247.png,4
248.png,7
249.png,4
250.png,1
251.png,9
252.png,1
253.png,9
254.png,4
255.png,8
256.png,9
257.png,5
258.png,4
259.png,0
260.png,9
261.png,8
262.png,9
263.png,0
264.png,3
265.png,7
266.png,5
267.png,2
268.png,1
269.png,0
270.png,3
271.png,2
272.png,9
273.png,2
274.png,1
275.png,6
276.png,4
277.png,4
278.png,3
279.png,7
280.png,6
281.png,9
282.png,4
283.png,5
284.png,9
285.png,5
286.png,4
287.png,8
288.png,7
289.png,8
290.png,7
291.png,2
292.png,9
293.png,1
294.png,7
295.png,6
296.png,9
297.png,6
298.png,4
299.png,1
300.png,9
301.png,8
302.png,6
303.png,4
304.png,6
305.png,6
306.png,3
307.png,2
308.png,2
309.png,6
310.png,1
311.png,9
312.png,1
313.png,7
314.png,8
315.png,0
316.png,4
317.png,4
318.png,8
319.png,4
320.png,0
321.png,0
322.png,1
323.png,3
324.png,7
325.png,2
326.png,5
327.png,2
328.png,8
329.png,7
330.png,8
331.png,3
332.png,6
333.png,3
334.png,8
335.png,0
336.png,3
337.png,8
338.png,7
339.png,8
340.png,5
341.png,2
342.png,4
343.png,1
344.png,0
345.png,3
346.png,9
347.png,2
348.png,2
349.png,9
350.png,2
351.png,2
352.png,7
353.png,6
354.png,0
355.png,3
356.png,5
357.png,7
358.png,3
359.png,8
360.png,7
361.png,5
362.png,8
363.png,4
364.png,9
365.png,2
366.png,0
367.png,0
368.png,2
369.png,5
370.png,6
371.png,6
372.png,4
373.png,1
374.png,1
375.png,5
376.png,1
377.png,6
378.png,6
379.png,4
380.png,3
381.png,3
382.png,8
383.png,3
384.png,0
385.png,9
386.png,6
387.png,8
388.png,1
389.png,7
390.png,7
391.png,2
392.png,2
393.png,4
394.png,4
395.png,7
396.png,3
397.png,0
398.png,5
399.png,9
400.png,3
401.png,7
402.png,8
403.png,4
404.png,3
405.png,8
406.png,5
407.png,5
408.png,9
409.png,7
410.png,0
411.png,1
412.png,5
413.png,7
414.png,2
415.png,2
416.png,0
417.png,0
418.png,6
419.png,3
420.png,7
421.png,2
422.png,9
423.png,1
424.png,5
425.png,9
426.png,6
427.png,2
428.png,6
429.png,0
430.png,3
431.png,9
432.png,4
433.png,5
434.png,7
435.png,1
436.png,9
437.png,9
438.png,5
439.png,8
440.png,0
441.png,1
442.png,1
443.png,1
444.png,8
445.png,8
446.png,1
447.png,0
448.png,4
449.png,6
450.png,0
451.png,1
452.png,4
453.png,7
454.png,7
455.png,4
456.png,4
457.png,5
458.png,7
459.png,8
460.png,1
461.png,9
462.png,4
463.png,4
464.png,0
465.png,4
466.png,5
467.png,7
468.png,0
469.png,3
470.png,2
471.png,8
472.png,9
473.png,9
474.png,8
475.png,1
476.png,3
477.png,5
478.png,3
479.png,7
480.png,9
481.png,6
482.png,4
483.png,4
484.png,1
485.png,1
486.png,5
487.png,2
488.png,5
489.png,5
490.png,3
491.png,9
492.png,6
493.png,2
494.png,9
495.png,6
496.png,1
497.png,8
498.png,9
499.png,6
500.png,1
501.png,4
502.png,9
503.png,3
504.png,3
505.png,5
506.png,6
507.png,6
508.png,1
509.png,8
510.png,0
511.png,1
512.png,0
513.png,6
514.png,8
515.png,4
516.png,0
517.png,8
518.png,3
519.png,3
520.png,3
521.png,7
522.png,3
523.png,9
524.png,0
525.png,2
526.png,5
527.png,4
528.png,4
529.png,8
530.png,5
531.png,5
532.png,2
533.png,4
534.png,3
535.png,6
536.png,9
537.png,8
538.png,1
539.png,0
540.png,5
541.png,2
542.png,0
543.png,9
544.png,1
545.png,8
546.png,6
547.png,2
548.png,3
549.png,7
550.png,5
551.png,7
552.png,8
553.png,6
554.png,2
555.png,4
556.png,8
557.png,7
558.png,2
559.png,7
560.png,1
561.png,9
562.png,7
563.png,4
564.png,1
565.png,6
566.png,4
567.png,2
568.png,8
569.png,3
570.png,0
571.png,6
572.png,0
573.png,5
574.png,6
575.png,8
576.png,8
577.png,6
578.png,8
579.png,8
580.png,8
581.png,6
582.png,1
583.png,6
584.png,4
585.png,9
586.png,7
587.png,7
588.png,9
589.png,6
590.png,0
591.png,0
592.png,3
593.png,7
594.png,6
595.png,0
596.png,1
597.png,8
598.png,3
599.png,1
600.png,3
601.png,9
602.png,6
603.png,2
604.png,3
605.png,1
606.png,4
607.png,4
608.png,9
609.png,3
610.png,5
611.png,8
612.png,0
613.png,6
614.png,3
615.png,4
616.png,5
617.png,3
618.png,0
619.png,2
620.png,0
621.png,1
622.png,6
623.png,3
624.png,9
625.png,1
626.png,0
627.png,2
628.png,3
629.png,1
630.png,1
631.png,0
632.png,9
633.png,3
634.png,2
635.png,9
636.png,1
637.png,7
638.png,3
639.png,8
640.png,6
641.png,1
642.png,7
643.png,5
644.png,2
645.png,9
646.png,9
647.png,0
648.png,6
649.png,4
650.png,9
651.png,8
652.png,9
653.png,1
654.png,5
655.png,0
656.png,6
657.png,1
658.png,8
659.png,3
660.png,3
661.png,8
662.png,0
663.png,8
664.png,0
665.png,5
666.png,4
667.png,5
668.png,6
669.png,6
670.png,4
671.png,2
672.png,6
673.png,6
674.png,5
675.png,7
676.png,5
677.png,1
678.png,3
679.png,0
680.png,7
681.png,9
682.png,1
683.png,4
684.png,8
685.png,3
686.png,3
687.png,5
688.png,1
689.png,6
690.png,7
691.png,3
692.png,5
693.png,1
694.png,6
695.png,4
696.png,6
697.png,4
698.png,6
699.png,0
700.png,2
701.png,5
702.png,6
703.png,0
704.png,7
705.png,2
706.png,8
707.png,2
708.png,0
709.png,9
710.png,4
711.png,0
712.png,2
713.png,8
714.png,8
715.png,0
716.png,0
717.png,8
718.png,5
719.png,9
720.png,8
721.png,7
722.png,6
723.png,0
724.png,5
725.png,9
726.png,9
727.png,7
728.png,3
729.png,6
730.png,9
731.png,2
732.png,6
733.png,1
734.png,8
735.png,2
736.png,7
737.png,9
738.png,6
739.png,2
740.png,8
741.png,3
742.png,2
743.png,2
744.png,5
745.png,9
746.png,5
747.png,2
748.png,7
749.png,3
750.png,2
751.png,3
752.png,7
753.png,8
754.png,7
755.png,4
756.png,2
757.png,3
758.png,2
759.png,4
760.png,3
761.png,7
762.png,3
763.png,8
764.png,9
765.png,3
766.png,7
767.png,9
768.png,6
769.png,2
770.png,8
771.png,1
772.png,8
773.png,8
774.png,9
775.png,4
776.png,8
777.png,6
778.png,3
779.png,6
780.png,6
781.png,3
782.png,9
783.png,4
784.png,3
785.png,8
786.png,2
787.png,9
788.png,3
789.png,5
790.png,5
791.png,2
792.png,3
793.png,4
794.png,6
795.png,9
796.png,9
797.png,3
798.png,7
799.png,1
800.png,2
801.png,7
802.png,7
803.png,8
804.png,0
805.png,5
806.png,0
807.png,0
808.png,9
809.png,8
810.png,4
811.png,1
812.png,7
813.png,6
814.png,6
815.png,7
816.png,5
817.png,0
818.png,5
819.png,5
820.png,1
821.png,0
822.png,6
823.png,8
824.png,7
825.png,4
826.png,8
827.png,2
828.png,3
829.png,1
830.png,9
831.png,7
832.png,1
833.png,9
834.png,7
835.png,6
836.png,7
837.png,2
838.png,3
839.png,7
840.png,5
841.png,3
842.png,5
843.png,8
844.png,4
845.png,9
846.png,5
847.png,8
848.png,4
849.png,6
850.png,7
851.png,0
852.png,0
853.png,8
854.png,6
855.png,5
856.png,1
857.png,3
858.png,1
859.png,1
860.png,3
861.png,9
862.png,0
863.png,4
864.png,3
865.png,0
866.png,2
867.png,3
868.png,7
869.png,3
870.png,3
871.png,1
872.png,8
873.png,0
874.png,7
875.png,9
876.png,6
877.png,8
878.png,0
879.png,9
880.png,8
881.png,1
882.png,9
883.png,1
884.png,6
885.png,5
886.png,2
887.png,3
888.png,8
889.png,5
890.png,6
891.png,3
892.png,0
893.png,8
894.png,1
895.png,2
896.png,8
897.png,1
898.png,7
899.png,8
900.png,9
901.png,7
902.png,3
903.png,0
904.png,6
905.png,9
906.png,0
907.png,5
908.png,2
909.png,4
910.png,6
911.png,5
912.png,3
913.png,0
914.png,2
915.png,7
916.png,7
917.png,5
918.png,3
919.png,0
920.png,5
921.png,5
922.png,8
923.png,4
924.png,6
925.png,6
926.png,1
927.png,7
928.png,9
929.png,6
930.png,2
931.png,2
932.png,1
933.png,1
934.png,7
935.png,4
936.png,1
937.png,3
938.png,7
939.png,6
940.png,0
941.png,3
942.png,2
943.png,1
944.png,8
945.png,3
946.png,4
947.png,9
948.png,9
949.png,8
950.png,7
951.png,3
952.png,9
953.png,3
954.png,1
955.png,5
956.png,7
957.png,7
958.png,2
959.png,2
960.png,0
961.png,1
962.png,5
963.png,7
964.png,7
965.png,7
966.png,6
967.png,7
968.png,2
969.png,8
970.png,3
971.png,3
972.png,5
973.png,3
974.png,2
975.png,5
976.png,6
977.png,7
978.png,5
979.png,1
980.png,0
981.png,6
982.png,2
983.png,7
984.png,2
985.png,4
986.png,2
987.png,3
988.png,8
989.png,9
990.png,6
991.png,3
992.png,5
993.png,5
994.png,7
995.png,7
996.png,2
997.png,9
998.png,8
999.png,3
1000.png,5
1001.png,0
1002.png,9
1003.png,5
1004.png,6
1005.png,9
1006.png,5
1007.png,2
1008.png,4
1009.png,8
1010.png,3
1011.png,7
1012.png,4
1013.png,3
1014.png,3
1015.png,4
1016.png,9
1017.png,1
1018.png,0
1019.png,5
1020.png,2
1021.png,3
1022.png,6
1023.png,0
1024.png,4
1025.png,5
1026.png,3
1027.png,2
1028.png,5
1029.png,1
1030.png,5
1031.png,5
1032.png,4
1033.png,8
1034.png,7
1035.png,7
1036.png,7
1037.png,8
1038.png,1
1039.png,8
1040.png,3
1041.png,7
1042.png,0
1043.png,8
1044.png,2
1045.png,2
1046.png,7
1047.png,8
1048.png,5
1049.png,7
1050.png,7
1051.png,0
1052.png,9
1053.png,1
1054.png,0
1055.png,3
1056.png,2
1057.png,7
1058.png,6
1059.png,6
1060.png,6
1061.png,4
1062.png,5
1063.png,6
1064.png,9
1065.png,3
1066.png,1
1067.png,0
1068.png,7
1069.png,1
1070.png,8
1071.png,6
1072.png,3
1073.png,8
1074.png,3
1075.png,5
1076.png,9
1077.png,1
1078.png,9
1079.png,2
1080.png,6
1081.png,7
1082.png,6
1083.png,7
1084.png,9
1085.png,0
1086.png,8
1087.png,2
1088.png,1
1089.png,6
1090.png,8
1091.png,4
1092.png,4
1093.png,5
1094.png,0
1095.png,5
1096.png,9
1097.png,3
1098.png,0
1099.png,5
1100.png,5
1101.png,0
1102.png,7
1103.png,3
1104.png,6
1105.png,0
1106.png,4
1107.png,7
1108.png,7
1109.png,1
1110.png,9
1111.png,1
1112.png,7
1113.png,7
1114.png,3
1115.png,0
1116.png,8
1117.png,8
1118.png,1
1119.png,0
1120.png,7
1121.png,9
1122.png,0
1123.png,2
1124.png,3
1125.png,5
1126.png,8
1127.png,5
1128.png,3
1129.png,9
1130.png,5
1131.png,2
1132.png,0
1133.png,4
1134.png,9
1135.png,3
1136.png,9
1137.png,8
1138.png,9
1139.png,8
1140.png,0
1141.png,1
1142.png,0
1143.png,7
1144.png,2
1145.png,3
1146.png,0
1147.png,1
1148.png,5
1149.png,4
1150.png,7
1151.png,9
1152.png,4
1153.png,8
1154.png,3
1155.png,9
1156.png,3
1157.png,5
1158.png,6
1159.png,6
1160.png,2
1161.png,8
1162.png,0
1163.png,2
1164.png,1
1165.png,1
1166.png,5
1167.png,7
1168.png,7
1169.png,8
1170.png,3
1171.png,7
1172.png,5
1173.png,6
1174.png,2
1175.png,2
1176.png,4
1177.png,5
1178.png,8
1179.png,1
1180.png,9
1181.png,5
1182.png,4
1183.png,2
1184.png,0
1185.png,6
1186.png,1
1187.png,2
1188.png,3
1189.png,4
1190.png,3
1191.png,9
1192.png,8
1193.png,9
1194.png,6
1195.png,0
1196.png,8
1197.png,1
1198.png,8
1199.png,8
1200.png,3
1201.png,4
1202.png,8
1203.png,7
1204.png,4
1205.png,0
1206.png,5
1207.png,4
1208.png,1
1209.png,9
1210.png,0
1211.png,4
1212.png,0
1213.png,6
1214.png,4
1215.png,1
1216.png,9
1217.png,8
1218.png,3
1219.png,3
1220.png,6
1221.png,5
1222.png,3
1223.png,1
1224.png,2
1225.png,5
1226.png,2
1227.png,1
1228.png,6
1229.png,9
1230.png,8
1231.png,6
1232.png,1
1233.png,1
1234.png,7
1235.png,0
1236.png,1
1237.png,1
1238.png,9
1239.png,3
1240.png,7
1241.png,4
1242.png,1
1243.png,8
1244.png,0
1245.png,8
1246.png,7
1247.png,8
1248.png,1
1249.png,8
1250.png,4
1251.png,8
1252.png,2
1253.png,1
1254.png,7
1255.png,7
1256.png,1
1257.png,9
1258.png,1
1259.png,6
1260.png,3
1261.png,8
1262.png,0
1263.png,7
1264.png,1
1265.png,7
1266.png,3
1267.png,2
1268.png,9
1269.png,2
1270.png,3
1271.png,6
1272.png,3
1273.png,3
1274.png,9
1275.png,8
1276.png,0
1277.png,7
1278.png,0
1279.png,5
1280.png,8
1281.png,5
1282.png,4
1283.png,9
1284.png,7
1285.png,3
1286.png,5
1287.png,5
1288.png,1
1289.png,4
1290.png,1
1291.png,7
1292.png,3
1293.png,4
1294.png,3
1295.png,8
1296.png,9
1297.png,8
1298.png,8
1299.png,6
1300.png,9
1301.png,1
1302.png,4
1303.png,1
1304.png,1
1305.png,6
1306.png,3
1307.png,0
1308.png,3
1309.png,1
1310.png,9
1311.png,1
1312.png,1
1313.png,9
1314.png,1
1315.png,0
1316.png,4
1317.png,9
1318.png,7
1319.png,8
1320.png,7
1321.png,2
1322.png,1
1323.png,1
1324.png,2
1325.png,4
1326.png,8
1327.png,4
1328.png,9
1329.png,8
1330.png,5
1331.png,5
1332.png,5
1333.png,6
1334.png,9
1335.png,2
1336.png,6
1337.png,2
1338.png,3
1339.png,8
1340.png,8
1341.png,7
1342.png,4
1343.png,7
1344.png,1
1345.png,4
1346.png,1
1347.png,2
1348.png,4
1349.png,7
1350.png,7
1351.png,0
1352.png,5
1353.png,6
1354.png,8
1355.png,5
1356.png,2
1357.png,0
1358.png,2
1359.png,4
1360.png,5
1361.png,2
1362.png,1
1363.png,8
1364.png,0
1365.png,5
1366.png,6
1367.png,5
1368.png,0
1369.png,0
1370.png,5
1371.png,0
1372.png,6
1373.png,5
1374.png,8
1375.png,3
1376.png,2
1377.png,2
1378.png,8
1379.png,9
1380.png,5
1381.png,0
1382.png,3
1383.png,3
1384.png,7
1385.png,2
1386.png,8
1387.png,9
1388.png,2
1389.png,2
1390.png,3
1391.png,3
1392.png,4
1393.png,8
1394.png,8
1395.png,7
1396.png,4
1397.png,5
1398.png,6
1399.png,3
1400.png,1
1401.png,3
1402.png,5
1403.png,7
1404.png,4
1405.png,3
1406.png,9
1407.png,1
1408.png,3
1409.png,7
1410.png,3
1411.png,9
1412.png,9
1413.png,1
1414.png,0
1415.png,5
1416.png,0
1417.png,1
1418.png,2
1419.png,6
1420.png,3
1421.png,2
1422.png,5
1423.png,9
1424.png,9
1425.png,8
1426.png,4
1427.png,1
1428.png,0
1429.png,7
1430.png,1
1431.png,8
1432.png,0
1433.png,5
1434.png,5
1435.png,6
1436.png,7
1437.png,7
1438.png,4
1439.png,8
1440.png,7
1441.png,2
1442.png,4
1443.png,7
1444.png,5
1445.png,5
1446.png,8
1447.png,3
1448.png,0
1449.png,0
1450.png,1
1451.png,9
1452.png,4
1453.png,4
1454.png,5
1455.png,0
1456.png,7
1457.png,8
1458.png,9
1459.png,1
1460.png,2
1461.png,3
1462.png,4
1463.png,5
1464.png,1
1465.png,2
1466.png,6
1467.png,3
1468.png,0
1469.png,1
1470.png,3
1471.png,1
1472.png,9
1473.png,8
1474.png,1
1475.png,9
1476.png,2
1477.png,6
1478.png,3
1479.png,3
1480.png,5
1481.png,4
1482.png,3
1483.png,5
1484.png,0
1485.png,6
1486.png,6
1487.png,8
1488.png,9
1489.png,6
1490.png,7
1491.png,5
1492.png,7
1493.png,0
1494.png,5
1495.png,2
1496.png,5
1497.png,7
1498.png,0
1499.png,4
1500.png,4
1501.png,3
1502.png,3
1503.png,6
1504.png,7
1505.png,3
1506.png,0
1507.png,2
1508.png,0
1509.png,6
1510.png,2
1511.png,5
1512.png,6
1513.png,2
1514.png,8
1515.png,3
1516.png,7
1517.png,6
1518.png,1
1519.png,9
1520.png,3
1521.png,7
1522.png,3
1523.png,8
1524.png,4
1525.png,8
1526.png,6
1527.png,3
1528.png,8
1529.png,8
1530.png,2
1531.png,2
1532.png,7
1533.png,7
1534.png,1
1535.png,2
1536.png,6
1537.png,3
1538.png,8
1539.png,2
1540.png,0
1541.png,8
1542.png,4
1543.png,9
1544.png,6
1545.png,7
1546.png,4
1547.png,4
1548.png,2
1549.png,0
1550.png,3
1551.png,4
1552.png,3
1553.png,6
1554.png,4
1555.png,1
1556.png,3
1557.png,8
1558.png,9
1559.png,2
1560.png,3
1561.png,5
1562.png,7
1563.png,4
1564.png,3
1565.png,0
1566.png,9
1567.png,2
1568.png,9
1569.png,2
1570.png,7
1571.png,7
1572.png,2
1573.png,9
1574.png,9
1575.png,1
1576.png,4
1577.png,7
1578.png,8
1579.png,8
1580.png,1
1581.png,2
1582.png,3
1583.png,4
1584.png,1
1585.png,5
1586.png,8
1587.png,8
1588.png,1
1589.png,5
1590.png,1
1591.png,4
1592.png,6
1593.png,9
1594.png,6
1595.png,0
1596.png,1
1597.png,6
1598.png,4
1599.png,6
1600.png,1
1601.png,2
1602.png,6
1603.png,1
1604.png,3
1605.png,7
1606.png,2
1607.png,2
1608.png,0
1609.png,5
1610.png,3
1611.png,0
1612.png,4
1613.png,2
1614.png,1
1615.png,1
1616.png,9
1617.png,9
1618.png,4
1619.png,5
1620.png,5
1621.png,7
1622.png,0
1623.png,6
1624.png,2
1625.png,9
1626.png,0
1627.png,8
1628.png,9
1629.png,8
1630.png,2
1631.png,9
1632.png,4
1633.png,7
1634.png,7
1635.png,7
1636.png,2
1637.png,7
1638.png,3
1639.png,1
1640.png,6
1641.png,3
1642.png,2
1643.png,0
1644.png,6
1645.png,3
1646.png,8
1647.png,3
1648.png,0
1649.png,6
1650.png,8
1651.png,3
1652.png,6
1653.png,9
1654.png,2
1655.png,8
1656.png,0
1657.png,9
1658.png,5
1659.png,7
1660.png,1
1661.png,5
1662.png,8
1663.png,2
1664.png,4
1665.png,6
1666.png,4
1667.png,4
1668.png,6
1669.png,7
1670.png,0
1671.png,0
1672.png,5
1673.png,2
1674.png,4
1675.png,8
1676.png,8
1677.png,7
1678.png,8
1679.png,8
1680.png,2
1681.png,7
1682.png,6
1683.png,8
1684.png,3
1685.png,7
1686.png,4
1687.png,2
1688.png,9
1689.png,9
1690.png,9
1691.png,9
1692.png,0
1693.png,7
1694.png,6
1695.png,9
1696.png,1
1697.png,6
1698.png,1
1699.png,9
1700.png,8
1701.png,3
1702.png,3
1703.png,3
1704.png,6
1705.png,9
1706.png,6
1707.png,0
1708.png,2
1709.png,8
1710.png,6
1711.png,6
1712.png,9
1713.png,8
1714.png,0
1715.png,2
1716.png,4
1717.png,3
1718.png,8
1719.png,3
1720.png,8
1721.png,9
1722.png,1
1723.png,5
1724.png,5
1725.png,6
1726.png,3
1727.png,0
1728.png,0
1729.png,3
1730.png,9
1731.png,4
1732.png,0
1733.png,4
1734.png,3
1735.png,1
1736.png,0
1737.png,0
1738.png,2
1739.png,0
1740.png,1
1741.png,4
1742.png,2
1743.png,0
1744.png,9
1745.png,9
1746.png,2
1747.png,2
1748.png,7
1749.png,6
1750.png,1
1751.png,9
1752.png,4
1753.png,2
1754.png,9
1755.png,3
1756.png,6
1757.png,1
1758.png,2
1759.png,2
1760.png,4
1761.png,0
1762.png,9
1763.png,7
1764.png,2
1765.png,2
1766.png,6
1767.png,4
1768.png,6
1769.png,4
1770.png,0
1771.png,1
1772.png,5
1773.png,6
1774.png,5
1775.png,5
1776.png,2
1777.png,0
1778.png,9
1779.png,7
1780.png,9
1781.png,4
1782.png,3
1783.png,0
1784.png,0
1785.png,3
1786.png,7
1787.png,3
1788.png,6
1789.png,9
1790.png,8
1791.png,2
1792.png,7
1793.png,6
1794.png,9
1795.png,6
1796.png,1
1797.png,8
1798.png,1
1799.png,7
1800.png,3
1801.png,4
1802.png,2
1803.png,2
1804.png,0
1805.png,4
1806.png,1
1807.png,1
1808.png,3
1809.png,6
1810.png,8
1811.png,3
1812.png,3
1813.png,2
1814.png,3
1815.png,0
1816.png,1
1817.png,6
1818.png,7
1819.png,4
1820.png,4
1821.png,6
1822.png,9
1823.png,7
1824.png,0
1825.png,0
1826.png,0
1827.png,4
1828.png,2
1829.png,1
1830.png,6
1831.png,9
1832.png,9
1833.png,5
1834.png,0
1835.png,2
1836.png,8
1837.png,2
1838.png,0
1839.png,8
1840.png,8
1841.png,1
1842.png,2
1843.png,1
1844.png,8
1845.png,5
1846.png,3
1847.png,3
1848.png,1
1849.png,9
1850.png,4
1851.png,2
1852.png,4
1853.png,3
1854.png,2
1855.png,7
1856.png,0
1857.png,8
1858.png,2
1859.png,5
1860.png,6
1861.png,2
1862.png,8
1863.png,7
1864.png,4
1865.png,7
1866.png,0
1867.png,1
1868.png,0
1869.png,0
1870.png,4
1871.png,9
1872.png,8
1873.png,0
1874.png,2
1875.png,4
1876.png,6
1877.png,5
1878.png,2
1879.png,6
1880.png,1
1881.png,8
1882.png,5
1883.png,2
1884.png,0
1885.png,0
1886.png,8
1887.png,8
1888.png,5
1889.png,1
1890.png,8
1891.png,5
1892.png,4
1893.png,2
1894.png,1
1895.png,9
1896.png,7
1897.png,4
1898.png,6
1899.png,3
1900.png,1
1901.png,6
1902.png,8
1903.png,2
1904.png,8
1905.png,8
1906.png,2
1907.png,2
1908.png,3
1909.png,6
1910.png,1
1911.png,6
1912.png,0
1913.png,1
1914.png,8
1915.png,4
1916.png,9
1917.png,4
1918.png,5
1919.png,5
1920.png,5
1921.png,1
1922.png,2
1923.png,4
1924.png,2
1925.png,4
1926.png,8
1927.png,0
1928.png,3
1929.png,6
1930.png,3
1931.png,1
1932.png,6
1933.png,7
1934.png,3
1935.png,0
1936.png,6
1937.png,2
1938.png,8
1939.png,9
1940.png,2
1941.png,3
1942.png,4
1943.png,2
1944.png,9
1945.png,6
1946.png,4
1947.png,0
1948.png,0
1949.png,0
1950.png,1
1951.png,9
1952.png,5
1953.png,7
1954.png,2
1955.png,6
1956.png,8
1957.png,9
1958.png,9
1959.png,6
1960.png,9
1961.png,6
1962.png,6
1963.png,7
1964.png,7
1965.png,7
1966.png,4
1967.png,4
1968.png,7
1969.png,1
1970.png,7
1971.png,7
1972.png,6
1973.png,9
1974.png,2
1975.png,6
1976.png,7
1977.png,1
1978.png,6
1979.png,2
1980.png,1
1981.png,2
1982.png,8
1983.png,6
1984.png,5
1985.png,4
1986.png,0
1987.png,2
1988.png,8
1989.png,5
1990.png,5
1991.png,7
1992.png,2
1993.png,8
1994.png,6
1995.png,1
1996.png,5
1997.png,4
1998.png,8
1999.png,6
2000.png,3
2001.png,4
2002.png,7
2003.png,5
2004.png,9
2005.png,3
2006.png,1
2007.png,6
2008.png,0
2009.png,5
2010.png,8
2011.png,8
2012.png,0
2013.png,1
2014.png,8
2015.png,1
2016.png,8
2017.png,4
2018.png,8
2019.png,5
2020.png,9
2021.png,3
2022.png,1
2023.png,3
2024.png,7
2025.png,3
2026.png,4
2027.png,4
2028.png,0
2029.png,0
2030.png,5
2031.png,6
2032.png,1
2033.png,4
2034.png,6
2035.png,3
2036.png,5
2037.png,9
2038.png,1
2039.png,5
2040.png,4
2041.png,1
2042.png,0
2043.png,3
2044.png,0
2045.png,5
2046.png,3
2047.png,1
2048.png,0
2049.png,5
2050.png,0
2051.png,6
2052.png,5
2053.png,9
2054.png,6
2055.png,2
2056.png,2
2057.png,3
2058.png,1
2059.png,5
2060.png,2
2061.png,4
2062.png,9
2063.png,0
2064.png,1
2065.png,4
2066.png,8
2067.png,9
2068.png,5
2069.png,3
2070.png,2
2071.png,7
2072.png,3
2073.png,6
2074.png,0
2075.png,8
2076.png,0
2077.png,5
2078.png,5
2079.png,9
2080.png,6
2081.png,5
2082.png,8
2083.png,1
2084.png,7
2085.png,0
2086.png,0
2087.png,9
2088.png,4
2089.png,0
2090.png,7
2091.png,4
2092.png,6
2093.png,5
2094.png,1
2095.png,5
2096.png,7
2097.png,8
2098.png,4
2099.png,5
2100.png,2
2101.png,5
2102.png,0
2103.png,0
2104.png,7
2105.png,4
2106.png,7
2107.png,5
2108.png,4
2109.png,9
2110.png,9
2111.png,8
2112.png,8
2113.png,4
2114.png,4
2115.png,9
2116.png,5
2117.png,2
2118.png,5
2119.png,9
2120.png,8
2121.png,4
2122.png,9
2123.png,1
2124.png,9
2125.png,9
2126.png,7
2127.png,4
2128.png,9
2129.png,3
2130.png,7
2131.png,7
2132.png,4
2133.png,8
2134.png,2
2135.png,0
2136.png,2
2137.png,5
2138.png,8
2139.png,7
2140.png,4
